Artista,Cancion,Palabra,Contexto
Carlos Y Jose,Gloria Reyes,corrido,... voy a cantar un corrido con permiso de las ...
Carlos Y Jose,Gloria Reyes,gente,... por ahi platita la gente había una fiesta en ...
Carlos Y Jose,Gloria Reyes,dinero,... y aveces con su dinero hasta comprarla trataba josé ...
Carlos Y Jose,Gloria Reyes,miedo,... sabia como le tenia miedo mando traer la policía ...
Carlos Y Jose,Gloria Reyes,policía,... miedo mando traer la policía para que lo desarmaran ...
Carlos Y Jose,Gloria Reyes,balazos,... donde se encontraba cinco balazos sonaron y solo dieron ...
Mariachi Vargas de Tecalitlán,El Dos Negro,frente,... parar bien mirame halza frente asta mi vista difamame ...
Mariachi Vargas de Tecalitlán,El Dos Negro,real,... españa un hip hop real de mexico enlace entre ...
Mariachi Vargas de Tecalitlán,El Dos Negro,tierra,... los pies en la tierra bien puestos y sin ...
Mariachi Vargas de Tecalitlán,El Dos Negro,calle,... sientanme diganlo en la calle de españa llegue y ...
Mariachi Vargas de Tecalitlán,El Dos Negro,azteca,... poner como un dios azteca eh despertado de un ...
Mariachi Vargas de Tecalitlán,El Dos Negro,mal,... del bien y el mal tocar el cielo llamar ...
Mariachi Vargas de Tecalitlán,El Dos Negro,dinero,... no tengo disquera ni dinero por ahora solo traje ...
Mariachi Vargas de Tecalitlán,El Dos Negro,gente,... voca me gano ala gente al dejar mi garganta ...
Mariachi Vargas de Tecalitlán,El Dos Negro,millones,... rock an droll vendir millones de copias llenar estadios ...
Mariachi Vargas de Tecalitlán,El Dos Negro,dinero,... chakal no es por dinero es por gloria con ...
Mariachi Vargas de Tecalitlán,El Dos Negro,matar,... que todas me quieran matar simular mi muerte comprar ...
Mariachi Vargas de Tecalitlán,El Dos Negro,muerte,... quieran matar simular mi muerte comprar mi libertad irme ...
Mariachi Vargas de Tecalitlán,El Dos Negro,mal,... vas ah acabar muy mal crees poder ganar y ...
Ramon Ayala,Contrabando Y Traicion,carro,... traían las llantas del carro repletas de hierba mala ...
Ramon Ayala,Contrabando Y Traicion,hierba,... del carro repletas de hierba mala eran emilio varela ...
Ramon Ayala,Contrabando Y Traicion,contrabando,... la tración y el contrabando dos cosas incompartidas a ...
Ramon Ayala,Contrabando Y Traicion,cuatro,... un callejón oscuro las cuatro llantas cambiaron y ahí ...
Ramon Ayala,Contrabando Y Traicion,hierba,... y ahí entregaron la hierba y al momento les ...
Ramon Ayala,Contrabando Y Traicion,balazos,... mi vida sonaron siete balazos camelia emilio mataba la ...
Ramon Ayala,Contrabando Y Traicion,policía,... camelia emilio mataba la policía solo halló una pistola ...
Ramon Ayala,Contrabando Y Traicion,pistola,... policía solo halló una pistola tirada del dinero y ...
Ramon Ayala,Contrabando Y Traicion,dinero,... una pistola tirada del dinero y de camelia nunca ...
Ramon Ayala,Daniel Del Fierro,muerto,... quisiera recordarles que ha muerto daniel del fierro la ...
Ramon Ayala,Daniel Del Fierro,balazos,... tamaulipecas fue acribillado a balazos cuando iba en su ...
Ramon Ayala,Daniel Del Fierro,camioneta,... cuando iba en su camioneta hiriendo a herón y ...
Ramon Ayala,Daniel Del Fierro,balazos,... hermanos del fierro a balazos han caído la forma ...
Ramon Ayala,Daniel Del Fierro,muerto,... la piedra que ha muerto daniel del fierro ya ...
Ramon Ayala,Once Tumbas,miedo,... traicionado porque les tenian miedo en 1930 en ese ...
Ramon Ayala,Once Tumbas,muerte,... la piedra le dieron muerte al primero rolando asi ...
Ramon Ayala,Once Tumbas,cuatro,... el año del treinta cuatro asesinaron a blanca hector ...
Ramon Ayala,Once Tumbas,cuatro,... en el cincuenta y cuatro sigue aumentando la cuenta ...
Ramon Ayala,Once Tumbas,miedo,... no lo remataron tenian miedo a su presencia y ...
Ramon Ayala,Once Tumbas,muerte,... la dinastia de la muerte hay un panteon que ...
Los Cadetes De Linares,Lamberto Quintero,camioneta,... quintero lo segue una camioneta iba con rumbo al ...
Los Cadetes De Linares,Lamberto Quintero,compa,... iban tomando cerveza su compa ero le dijo nos ...
Los Cadetes De Linares,Lamberto Quintero,camioneta,... dijo nos sigue una camioneta lamberto sonriendo dijo pa ...
Los Cadetes De Linares,Lamberto Quintero,muerto,... allí dejaron a un muerto enemigo de lamberto quisieran ...
Los Cadetes De Linares,Lamberto Quintero,muerte,... días después de su muerte vuelven a sonar los ...
Los Cadetes De Linares,Lamberto Quintero,tiros,... vuelven a sonar los tiros allí murieron diez hombres ...
Los Cadetes De Linares,Lamberto Quintero,hombres,... tiros allí murieron diez hombres por esos mismos motivos ...
Los Cadetes De Linares,Lamberto Quintero,tierra,... puente que va a tierra blanca tú que lo ...
Antonio Aguilar,El Caballo Jovero,corrido,... voy a cantarles un corrido verdadero es la historia ...
Antonio Aguilar,El Caballo Jovero,caballo,... la historia de un caballo que se llamaba el ...
Antonio Aguilar,El Caballo Jovero,caballo,... amigos lo hicieron un caballo de batalla cuando robaba ...
Antonio Aguilar,El Caballo Jovero,dinero,... cargaba mucho valor en dinero el que robaba martín ...
Los Cadetes De Linares,Eran Cuatro De A Caballo,cuatro,... eran cuatro de a caballo de ...
Los Cadetes De Linares,Eran Cuatro De A Caballo,caballo,... eran cuatro de a caballo de aquel real del ...
Los Cadetes De Linares,Eran Cuatro De A Caballo,real,... a caballo de aquel real del matimil huyendo de ...
Los Cadetes De Linares,Eran Cuatro De A Caballo,cuatro,... pancho era de aquellos cuatro el más cruel y ...
Los Cadetes De Linares,Eran Cuatro De A Caballo,sanguinario,... el más cruel y sanguinario pues una ves mato ...
Los Cadetes De Linares,Eran Cuatro De A Caballo,cuatro,... los trenes derredescarriló eran cuatro de a caballo de ...
Los Cadetes De Linares,Eran Cuatro De A Caballo,caballo,... eran cuatro de a caballo de aquel real del ...
Los Cadetes De Linares,Eran Cuatro De A Caballo,real,... a caballo de aquel real del matimil y como ...
Los Cadetes De Linares,Eran Cuatro De A Caballo,cuatro,... robarse la catedral eran cuatro de a caballo de ...
Los Cadetes De Linares,Eran Cuatro De A Caballo,caballo,... eran cuatro de a caballo de aquel real del ...
Los Cadetes De Linares,Eran Cuatro De A Caballo,real,... a caballo de aquel real del matimil huyendo de ...
Los Cadetes De Linares,Eran Cuatro De A Caballo,matar,... no lo vallas a matar ten compasión ya guillermo ...
Los Cadetes De Linares,Eran Cuatro De A Caballo,cuatro,... te robas catedral eran cuatro de a caballo de ...
Los Cadetes De Linares,Eran Cuatro De A Caballo,caballo,... eran cuatro de a caballo de aquel real del ...
Los Cadetes De Linares,Eran Cuatro De A Caballo,real,... a caballo de aquel real del matimil dios los ...
Antonio Aguilar,El Mayor De Los Dorados,caballo,... yo fui mayor mi caballo que tanto montaba en ...
Antonio Aguilar,El Mayor De Los Dorados,muerte,... montaba en jiménez la muerte encontró una bala que ...
Antonio Aguilar,Corrido De Simón Blanco,corrido,... voy a cantar un corrido sin agravio y sin ...
Antonio Aguilar,Corrido De Simón Blanco,hombres,... blanco hombre entre los hombres si señores como a ...
Antonio Aguilar,Corrido De Simón Blanco,pistola,... la cuestión cuando con pistola en mano adrián bailón ...
Antonio Aguilar,Corrido De Simón Blanco,muerto,... los tres días de muerto los martínez fallecieron decían ...
Antonio Aguilar,Corrido De Simón Blanco,matar,... un misterio porque al matar a un compadre era ...
Antonio Aguilar,Corrido De Simón Blanco,gallo,... blanco que era buen gallo de trabas era un ...
Antonio Aguilar,Corrido De Simón Blanco,gobierno,... muy fino que el gobierno respetaba el con su ...
Antonio Aguilar,La Toma De Zacatecas,muerto,... calles de zacatecas de muerto entapizada lo mismo estaban ...
Antonio Aguilar,La Toma De Zacatecas,granada,... por el fuego de granada desde guadalupe cerro el ...
Antonio Aguilar,Corrido De Chihuahua,corrido,... parral y escuchen este corrido que alegre vengo a ...
Antonio Aguilar,Corrido De Chihuahua,tierra,... bonito chihuahua eres mi tierra norteña india vestida de ...
Antonio Aguilar,Corrido De Chihuahua,mujeres,... hermoso lindas y bellas mujeres ese es chihuahua lindas ...
Antonio Aguilar,Corrido De Chihuahua,real,... del noble y viejo real que tienen sabor añejo ...
Antonio Aguilar,Corrido De Chihuahua,gente,... olvide pela os pa gente buena chihuahua que es ...
Antonio Aguilar,El Ojo De Vidrio,corrido,... voy a cantar el corrido del salteador de caminos ...
Antonio Aguilar,El Ojo De Vidrio,gobierno,... los poblados burlándose del gobierno mataba a muchos soldados ...
Antonio Aguilar,El Ojo De Vidrio,mujeres,... asustado y a las mujeres buscaba mirando pa todos ...
Antonio Aguilar,El Ojo De Vidrio,caballo,... se paseaba en su caballo tordillo frente de la ...
Antonio Aguilar,El Ojo De Vidrio,frente,... en su caballo tordillo frente de la plaza de ...
Antonio Aguilar,El Ojo De Vidrio,plaza,... tordillo frente de la plaza de armas lo acribillaron ...
Antonio Aguilar,El Ojo De Vidrio,tiros,... armas lo acribillaron a tiros sin que le pasara ...
Antonio Aguilar,El Ojo De Vidrio,caballo,... se iba tranquilo a caballo sin que nadie le ...
Antonio Aguilar,El Ojo De Vidrio,muerto,... un coralillo venía ya muerto el bandido en su ...
Antonio Aguilar,El Ojo De Vidrio,caballo,... el bandido en su caballo tordillo ...
Antonio Aguilar,Pánfilo Natera,corrido,... ahí les va el corrido de panfilo natera señores ...
Antonio Aguilar,Pánfilo Natera,federales,... les dijo a los federales voy a ponerles las ...
Antonio Aguilar,Pánfilo Natera,cuatro,... ponerles las peras a cuatro por cinco reales dijo ...
Antonio Aguilar,Pánfilo Natera,gallo,... mano y haber que gallo me asusta natera fué ...
Antonio Aguilar,General Benjamín Argumedo,sierra,... lo bajaron de la sierra lo bajaron de la ...
Antonio Aguilar,General Benjamín Argumedo,sierra,... lo bajaron de la sierra todo liado como un ...
Antonio Aguilar,General Benjamín Argumedo,gente,... en publico de la gente tanto pelear y pelear ...
Los Caminantes,La Muerte De La Mafia,comandante,... festivales y un tal comandante pérez ya los está ...
Los Caminantes,La Muerte De La Mafia,mal,... dicho el que anda mal mal acaba y a ...
Los Caminantes,La Muerte De La Mafia,mal,... el que anda mal mal acaba y a la ...
Los Caminantes,La Muerte De La Mafia,comandante,... esperaba y un tal comandante pérez se la tiene ...
Los Caminantes,El Potro Lobo Gateado,caballo,... que me dé un caballo por mi yegua colorada ...
Los Caminantes,El Potro Lobo Gateado,caballo,... mi yegua colorada cuál caballo es el que quieres ...
Los Caminantes,El Potro Lobo Gateado,carro,... meterlo por malo al carro que a charros y ...
Los Caminantes,El Potro Lobo Gateado,caballo,... hablada ahora juego mi caballo con su yegua colorada ...
Los Caminantes,El Potro Lobo Gateado,miedo,... no pienses que tengo miedo vámonos pa la oficina ...
Los Caminantes,El Potro Lobo Gateado,dinero,... oficina a depositar el dinero y la fecha la ...
Los Caminantes,El Potro Lobo Gateado,caballo,... del partidero y el caballo no cedía toda la ...
Los Caminantes,El Potro Lobo Gateado,gente,... no cedía toda la gente decía qué caballo tan ...
Los Caminantes,El Potro Lobo Gateado,caballo,... la gente decía qué caballo tan violento nomás alas ...
Los Caminantes,El Potro Lobo Gateado,mal,... me despido dispensen lo mal cantado aquí termina el ...
Los Caminantes,El Potro Lobo Gateado,corrido,... cantado aquí termina el corrido de un charro y ...
Los Caminantes,Los Dos Hermanos,corrido,... este es el nuevo corrido que yo les vengo ...
Los Caminantes,Los Dos Hermanos,pistola,... a su muy buena pistola josé manuel echó mano ...
Los Caminantes,Los Dos Hermanos,balazos,... echó mano de dos balazos mató a la mujer ...
Los Caminantes,Los Dos Hermanos,balazos,... salieron para afuera varios balazos sonaron y en el ...
Los Caminantes,El Hijo Desobediente,tierra,... que me entierre en tierra bruta donde me trille ...
Los Caminantes,El Hijo Desobediente,caballo,... felipe fue desgraciado el caballo colorado hace un año ...
Los Caminantes,Sucedió En La Barranca,corrido,... voy a cantar un corrido que traigo prendido en ...
Los Caminantes,Sucedió En La Barranca,tiros,... panteón cuando sonaron dos tiros y un hombre sin ...
Los Caminantes,Sucedió En La Barranca,matar,... muy macho se piensa matar yo por eso le ...
Los Caminantes,La Mafia Muere,hombres,... de tanta masacre cuántos hombres valientes han muerto unos ...
Los Caminantes,La Mafia Muere,valientes,... tanta masacre cuántos hombres valientes han muerto unos grandes ...
Los Caminantes,La Mafia Muere,muerto,... cuántos hombres valientes han muerto unos grandes que fueron ...
Los Caminantes,La Mafia Muere,gobierno,... otros grandes también del gobierno pistoleros que fueron famosos ...
Los Caminantes,La Mafia Muere,tierra,... luto y familias llorando tierra blanca se encuentra muy ...
Los Caminantes,La Mafia Muere,hombres,... familias enteras cientos de hombres la vida perdieron es ...
Los Caminantes,La Mafia Muere,tierra,... en la queda murieron tierra blanca se encuentra muy ...
Los Caminantes,Benito Canales,gobierno,... murió benito canales el gobierno lo mató anduvo tienda ...
Los Caminantes,Benito Canales,gobierno,... querida isabel cuando el gobierno llegó todos venían preguntando ...
Los Caminantes,Benito Canales,federales,... el alto gritando los federales viva el supremo gobierno ...
Los Caminantes,Benito Canales,gobierno,... federales viva el supremo gobierno muera benito canales salió ...
Los Caminantes,Benito Canales,caballo,... benito canales en su caballo retinto con sus armas ...
Los Caminantes,Arnulfo Gonzalez,pistola,... le pegó con su pistola en la mano con ...
Los Caminantes,Arnulfo Gonzalez,muerte,... la mano con la muerte lo amagó arnulfo se ...
Los Caminantes,Arnulfo Gonzalez,balazos,... contestación se agarraron a balazos se agarraron frente a ...
Los Caminantes,Arnulfo Gonzalez,frente,... a balazos se agarraron frente a frente arnulfo con ...
Los Caminantes,Arnulfo Gonzalez,frente,... se agarraron frente a frente arnulfo con su pistola ...
Los Caminantes,Arnulfo Gonzalez,pistola,... frente arnulfo con su pistola tres tiros le dio ...
Los Caminantes,Arnulfo Gonzalez,tiros,... con su pistola tres tiros le dio al teniente ...
Los Caminantes,Arnulfo Gonzalez,teniente,... tiros le dio al teniente pero ahí le dice ...
Los Caminantes,Arnulfo Gonzalez,teniente,... ahí le dice el teniente casi para agonizar oiga ...
Los Caminantes,Arnulfo Gonzalez,matar,... se vaya acábeme de matar arnulfo se devolvió a ...
Los Caminantes,Arnulfo Gonzalez,frente,... un tiro en la frente pero en la vuelta ...
Los Caminantes,Arnulfo Gonzalez,teniente,... ahí le pegó el teniente arnulfo muy malherido en ...
Los Caminantes,Arnulfo Gonzalez,carro,... muy malherido en un carro iba volando cuando llegó ...
Los Caminantes,Arnulfo Gonzalez,hombres,... qué bonitos son los hombres que se matan pecho ...
Los Caminantes,Arnulfo Gonzalez,pistola,... cada uno con su pistola defendiendo sus derechos ya ...
Los Caminantes,Arnulfo Gonzalez,corrido,... rurales aquí termina el corrido del teniente y de ...
Los Caminantes,Arnulfo Gonzalez,teniente,... termina el corrido del teniente y de gonzález ...
Los Caminantes,Valentin De La Sierra,corrido,... voy a cantar un corrido de un amigo de ...
Los Caminantes,Valentin De La Sierra,tierra,... un amigo de mi tierra llamadose valentin que fue ...
Los Caminantes,Valentin De La Sierra,sierra,... y colgado en la sierra ni me quisiera acordar ...
Los Caminantes,Valentin De La Sierra,gobierno,... valentin en manos del gobierno el coronel le de ...
Los Caminantes,Valentin De La Sierra,gente,... decia cual es la gente que guias son ochocientos ...
Los Caminantes,Valentin De La Sierra,sierra,... que trae por la sierra mariano mejia el coronel ...
Los Caminantes,Valentin De La Sierra,gente,... pregunta cual es la gente que mandas son ochocientos ...
Los Caminantes,Valentin De La Sierra,hombres,... soy de los meros hombres que an inventado la ...
Los Caminantes,Valentin De La Sierra,matar,... religion me van a matar vuela vuela palomita parate ...
Los Caminantes,Benjamin Argumedo,sierra,... lo bajaron por la sierra lo bajaron por la ...
Los Caminantes,Benjamin Argumedo,sierra,... lo bajaron por la sierra todo liado como cuete ...
Los Caminantes,Benjamin Argumedo,gente,... en publico de la gente tanto pelear y pelear ...
Los Cadetes De Linares,El Crimen De Chihuahua,hombres,... caporal vio a dos hombres de un carro iban ...
Los Cadetes De Linares,El Crimen De Chihuahua,carro,... dos hombres de un carro iban disparando la placa ...
Los Cadetes De Linares,El Crimen De Chihuahua,carro,... es el final el carro es rojo con blanco ...
Los Cadetes De Linares,El Crimen De Chihuahua,muerto,... continental don guillermo quedó muerto manuelito mal herido bañado ...
Los Cadetes De Linares,El Crimen De Chihuahua,mal,... guillermo quedó muerto manuelito mal herido bañado en sangre ...
Los Cadetes De Linares,El Crimen De Chihuahua,sierra,... que vivo en la sierra de nevada fue por ...
Los Cadetes De Linares,El Crimen De Chihuahua,balazos,... de unos corrales a balazos se batían manuel ya ...
Los Cadetes De Linares,El Crimen De Chihuahua,mal,... don guillermo torres un mal reparto lo hiciste no ...
Los Broncos De Reynosa,El Corrido De Lamberto Quintero,camioneta,... quintero lo seguía una camioneta iba con rumbo al ...
Los Broncos De Reynosa,El Corrido De Lamberto Quintero,camioneta,... dice nos sigue una camioneta lamberto sonriendo dijo pa ...
Los Broncos De Reynosa,El Corrido De Lamberto Quintero,muerte,... días después de su muerte vuelven a sonar los ...
Los Broncos De Reynosa,El Corrido De Lamberto Quintero,tiros,... vuelven a sonar los tiros ahí murieron diez hombres ...
Los Broncos De Reynosa,El Corrido De Lamberto Quintero,hombres,... tiros ahí murieron diez hombres por esos mismos motivos ...
Los Broncos De Reynosa,El Corrido De Lamberto Quintero,tierra,... puente que da a tierra blanca tú que lo ...
Carlos Y Jose,Jacinto El Tullido,mujeres,... quedava con vida muchas mujeres bonitas que ya sus ...
Carlos Y Jose,Jacinto El Tullido,frente,... entenderme tendre que aser frente tambien al govierno sal ...
Carlos Y Jose,Jacinto El Tullido,teniente,... alto le grita el teniente te tengo rodeado yo ...
Carlos Y Jose,Jacinto El Tullido,hombres,... soy de los meros hombres entienda teniente soy gallo ...
Carlos Y Jose,Jacinto El Tullido,teniente,... los meros hombres entienda teniente soy gallo jugado me ...
Carlos Y Jose,Jacinto El Tullido,gallo,... hombres entienda teniente soy gallo jugado me sobran tres ...
Carlos Y Jose,Jacinto El Tullido,balazos,... sin ningun soldado suenan balazos a muerte jacinto solito ...
Carlos Y Jose,Jacinto El Tullido,muerte,... soldado suenan balazos a muerte jacinto solito ni un ...
Carlos Y Jose,Jacinto El Tullido,teniente,... la escolta y el teniente en pocos momentos no ...
Carlos Y Jose,Jacinto El Tullido,muerto,... tratando de ayarlo sea muerto o sea vivo ya ...
El Piporro,Rosita Alvirez,barrio,... tengo yo en un barrio de saltillo rosita alvirez ...
El Piporro,Rosita Alvirez,gente,... no me desaires la gente lo va a notar ...
El Piporro,Rosita Alvirez,pistola,... la cintura y una pistola saco y a la ...
El Piporro,Rosita Alvirez,tiros,... de rosita nomas tres tiros le dio nomas tres ...
El Piporro,Rosita Alvirez,tiros,... le dio nomas tres tiros le dio cayo privada ...
Los Cadetes de Linares,Otra Tumba Más,mal,... sangre desarmado y a mal salva fue abatido un ...
Los Cadetes de Linares,Otra Tumba Más,valientes,... marcado para todos los valientes de la piedra hoy ...
Los Cadetes de Linares,Otra Tumba Más,corrido,... de pedro y otro corrido para el rancho de ...
Los Cadetes de Linares,Otra Tumba Más,valientes,... quien te defienda dos valientes como son luis y ...
Los Cadetes de Linares,Recordando A Los Valientes,valientes,... de corridos para recordar valientes de aquellos valientes quedan ...
Los Cadetes de Linares,Recordando A Los Valientes,valientes,... recordar valientes de aquellos valientes quedan solo las cruces ...
Los Cadetes de Linares,Recordando A Los Valientes,corrido,... las cruces clavadas un corrido por las calles y ...
Los Cadetes de Linares,Recordando A Los Valientes,azteca,... mi sangre es de azteca mi tierra es méxico ...
Los Cadetes de Linares,Recordando A Los Valientes,tierra,... es de azteca mi tierra es méxico entero por ...
Los Cadetes de Linares,Recordando A Los Valientes,valientes,... pueblo recordando a los valientes que han hecho muchos ...
Los Cadetes de Linares,Recordando A Los Valientes,valientes,... un amigo de aquellos valientes quedan solo las cruces ...
Los Cadetes de Linares,Recordando A Los Valientes,corrido,... las cruces clavadas un corrido por las calles y ...
Los Cadetes De Linares,El Tartanero,mal,... dos pistolas dispararon muy mal herido fernández del suelo ...
Los Cadetes De Linares,El Tartanero,carro,... lo llevaron cargando al carro con mucho afán ahí ...
Los Cadetes De Linares,El Tartanero,ley,... hombre es de mucha ley si no quieren verle ...
Los Cadetes De Linares,Hijo Malvado,corrido,... voy a cantar un corrido esto pasó allá en ...
Los Cadetes De Linares,Hijo Malvado,matar,... su padre fue a matar toda la gente en ...
Los Cadetes De Linares,Hijo Malvado,gente,... a matar toda la gente en linares asustada se ...
Los Cadetes De Linares,Hijo Malvado,tierra,... las leyes de la tierra jamás cobrarán tu deuda ...
Los Cadetes De Linares,Las Tres Mujeres,mujeres,... canales se aparecen tres mujeres que en vida fueron ...
Los Cadetes De Linares,Las Tres Mujeres,gente,... laguna seca cuando la gente pasaba se oían gritos ...
Los Cadetes De Linares,Las Tres Mujeres,mujeres,... se oían gritos de mujeres cuando el sol ya ...
Los Cadetes De Linares,Las Tres Mujeres,valientes,... se ocultaba eran aquellas valientes que ya de muertas ...
Los Temerarios,La Venganza De Maria,cuatro,... estar encerrada en estas cuatro paredes llevo mi pistola ...
Los Temerarios,La Venganza De Maria,pistola,... cuatro paredes llevo mi pistola escuadra para poder defenderme ...
Los Temerarios,La Venganza De Maria,hombres,... redoba se oía los hombres con devoción admiraban a ...
Los Temerarios,La Venganza De Maria,muerto,... medio del alboroto cayo muerto renteria ...
Los Temerarios,Sucedió En La Barranca,corrido,... voy a cantar un corrido que traigo prendido muy ...
Los Temerarios,Sucedió En La Barranca,tiros,... panteón cuando sonaron dos tiros y un hombre sin ...
Los Temerarios,Sucedió En La Barranca,matar,... muy macho se piensa matar yo por eso le ...
Los Temerarios,Sucedió En La Barranca,tiros,... panteón cuando sonaron dos tiros y un hombre sin ...
Los Bukis,Las Holgazanas,mujeres,... de moda que las mujeres a los maridos quieren ...
Los Bukis,Las Holgazanas,dinero,... traje quieren andar tiran dinero por todas partes y ...
Los Tigres Del Norte,Caja De Muerto,pistola,... ataque de celos mi pistola disparaba a la reyna ...
Los Tigres Del Norte,Caja De Muerto,caballo,... mi gran cariño el caballo me gano estas rejas ...
Los Tigres Del Norte,Caja De Muerto,muerto,... ya me dan por muerto por las noches ya ...
Los Tigres Del Norte,Caja De Muerto,muerto,... sea en caja de muerto a la reyna de ...
Los Tigres Del Norte,Caja De Muerto,caballo,... mi gran cariño el caballo me gano estas rejas ...
Voz De Mando,De Corazón Ranchero,malos,... de las aguas los malos tiempos se pasan y ...
Voz De Mando,De Corazón Ranchero,gente,... la montaña aún mi gente me acompaña seña que ...
Voz De Mando,De Corazón Ranchero,hombres,... confirman y afirman que hombres como yo no hay ...
Voz De Mando,De Corazón Ranchero,frente,... a apostar 30 años frente a la empresa y ...
Voz De Mando,De Corazón Ranchero,plaza,... aferra a maltratar nuestra plaza no me defiendo con ...
Voz De Mando,De Corazón Ranchero,chapo,... abrazo a mi compadre chapo gracias por todo el ...
Voz De Mando,De Corazón Ranchero,gente,... que ellos protegan mi gente en especial mi niño ...
Voz De Mando,El Señor De Los Cielos,gobierno,... seña entre contras y gobierno no me dejarían tranquilo ...
Voz De Mando,El Señor De Los Cielos,muerto,... estoy vivo si estoy muerto ya veremos ...
Voz De Mando,Estilo Especial,matar,... de combate morir o matar el cabrón que ha ...
Voz De Mando,Estilo Especial,frente,... yo le hallo la frente primo la vida es ...
Voz De Mando,Estilo Especial,dinero,... respeto la fama el dinero la plaza ni hablar ...
Voz De Mando,Estilo Especial,plaza,... fama el dinero la plaza ni hablar adictivo pa ...
Voz De Mando,Estilo Especial,muerte,... hablar adictivo pa la muerte mi rifle lo proporciona ...
Voz De Mando,Estilo Especial,frente,... encenderme lo apunto de frente y solo se detona ...
Voz De Mando,Estilo Especial,halcón,... mi estilo especial el halcón manda un mensaje al ...
C-Kan,Intolerable ,gente,... gustar tratar con la gente bipolar tiraron y no ...
C-Kan,Intolerable ,banda,... de el contrato en banda lo volverse a rechazar ...
C-Kan,Todo Lo Que Brilla No Es Oro,dinero,... no siempre soñe tener dinero para arreglar mis problemas ...
C-Kan,Todo Lo Que Brilla No Es Oro,dinero,... problemas desde que tengo dinero el dia que me ...
C-Kan,Todo Lo Que Brilla No Es Oro,gente,... una islita con la gente que mas quiero aya ...
C-Kan,Todo Lo Que Brilla No Es Oro,gallo,... me encanta donde un gallo canta y el pueblo ...
C-Kan,Todo Lo Que Brilla No Es Oro,calle,... poeta arte de la calle represento nadie en la ...
C-Kan,Todo Lo Que Brilla No Es Oro,dinero,... la gave sentado con dinero una nueva era del ...
C-Kan,Mama Me Dijo Un Dia,mujeres,... bendita tu entre las mujeres y bendito es el ...
C-Kan,Mama Me Dijo Un Dia,muerte,... la hora de nuestra muerte amén recuerdo que mama ...
C-Kan,Mama Me Dijo Un Dia,dinero,... la fama y el dinero es tonterías ten cuidado ...
C-Kan,Mama Me Dijo Un Dia,gente,... ten cuidado de la gente que confías hoy porque ...
C-Kan,Mama Me Dijo Un Dia,policía,... quien llaman a la policía no llorar es necesario ...
C-Kan,Mama Me Dijo Un Dia,mal,... en el cantón un mal de 70 pesos el ...
C-Kan,Mama Me Dijo Un Dia,tira,... se lo cargo la tira porque su hijo trae ...
C-Kan,Mama Me Dijo Un Dia,ley,... ni problemas con la ley so jefita ni se ...
C-Kan,Mama Me Dijo Un Dia,dinero,... la fama y el dinero es tonterías ten cuidado ...
C-Kan,Mama Me Dijo Un Dia,gente,... ten cuidado de la gente que confías hoy porque ...
C-Kan,Mama Me Dijo Un Dia,policía,... quien llaman a la policía no llorar es necesario ...
C-Kan,Mama Me Dijo Un Dia,gente,... menos quiero que mi gente y que mis hijos ...
C-Kan,Mama Me Dijo Un Dia,miedo,... que yo nunca tuve miedo de decir lo que ...
C-Kan,Mama Me Dijo Un Dia,miedo,... peor que vivir con miedo recuerdo que mama me ...
C-Kan,Mama Me Dijo Un Dia,dinero,... la fama y el dinero es tonterías ten cuidado ...
C-Kan,Mama Me Dijo Un Dia,gente,... ten cuidado de la gente que confías hoy porque ...
C-Kan,Mama Me Dijo Un Dia,policía,... quien llaman a la policía no llorar es necesario ...
C-Kan,My Everything,gente,... enamoraste si importarte la gente me dijiste lo que ...
C-Kan,My Everything,diablo,... que un día el diablo de vendió en alma ...
C-Kan,My Everything,carro,... le pongo gas al carro y le meto el ...
C-Kan,My Everything,muerte,... podría irme feliz la muerte dudo que aguarda y ...
C-Kan,My Everything,muerte,... con la zurda mi muerte seria absurda si no ...
C-Kan,Mujer Bonita,gente,... colonia que todo el gente lo sepa no hay ...
C-Kan,Mujer Bonita,mal,... hermosa mujer me trae mal si quieres mami tu ...
C-Kan,Mujer Bonita,mujeres,... para olvidarme de otras mujeres para que todo sea ...
C-Kan,El Llanto Del Inmigrante,tierra,... seres queridos estados unidos tierra de nosotros lugar donde ...
C-Kan,El Llanto Del Inmigrante,gobierno,... el enemigo es el gobierno americano quieren acabar con ...
C-Kan,El Llanto Del Inmigrante,gente,... el llanto de mi gente no nos hacen caso ...
C-Kan,El Llanto Del Inmigrante,gente,... el grito de mi gente dime que culpa tienes ...
C-Kan,El Llanto Del Inmigrante,calle,... yo de que la calle y el gobierno sea ...
C-Kan,El Llanto Del Inmigrante,gobierno,... la calle y el gobierno sea un desorden yo ...
C-Kan,El Llanto Del Inmigrante,gente,... llanto de toda mi gente esta la hicimos pa ...
C-Kan,El Llanto Del Inmigrante,gobierno,... a los que el gobierno considera una amenaza porque ...
C-Kan,El Llanto Del Inmigrante,gente,... que decide por mi gente wacha hoy no quieren ...
C-Kan,El Llanto Del Inmigrante,cocaína,... les cruzan marihuana y cocaína homie por estos barrios ...
C-Kan,El Llanto Del Inmigrante,diablo,... estos barrios hasta el diablo se persina si preguntan ...
C-Kan,El Llanto Del Inmigrante,calle,... yo de que la calle y el gobierno sea ...
C-Kan,El Llanto Del Inmigrante,gobierno,... la calle y el gobierno sea un desorden yo ...
