artist,album,year,song,lyrics,conteo_narco,es_narco_fuerte,decada,lyrics_limpias,subgenero_ia
Antonio Aguilar,Corridos De Caballos Famosos,1972,El Patas Blancas,"Caballo de patas blancas
Con herraduras de acero
Hoy vas a brincar las trancas
Antes que salga el lucero

Y vas a llevar en ancas
A la mujer que yo quiero
(A la mujer que yo quiero)

La gente por donde quiera
Ya saben que soy matrero
Y traigo en mi carrillera
Cincuenta balas de acero

Para llevarme a mi prieta
En mi caballo lucero
(En mi caballo lucero)

Yo sé que tus pretendientes
Presumen de ser matones
El miedo que yo les tengo
Lo traigo aquí en los talones
(Lo traigo aquí en los talones)

Yo sé que me están buscando
Con ansia desesperada
También yo me estoy quemando
Por conocer tu manada

Y verlos agonizando
Comiendo sangre empolvada
(Comiendo sangre empolvada)

Por ahí dicen que la muerte
Me anda siguiendo los pasos
Y yo digo que la suerte
Me ha de llevar a tus brazos

Entonces podré besarte
Aunque me den de balazo
(Aunque me den de balazo)

Yo sé que tus pretendientes
Presumen de ser matones
El miedo que yo les tengo
Lo traigo aquí en los talones
(Lo traigo aquí en los talones)",4,True,1970,caballo patas blancas herraduras acero brincar trancas antes salga lucero llevar ancas mujer quiero mujer quiero gente quiera saben matrero traigo carrillera cincuenta balas acero llevarme prieta caballo lucero caballo lucero pretendientes presumen ser matones miedo tengo traigo talones traigo talones están buscando ansia desesperada estoy quemando conocer manada verlos agonizando comiendo sangre empolvada comiendo sangre empolvada muerte anda siguiendo pasos suerte llevar brazos entonces podré besarte den balazo den balazo pretendientes presumen ser matones miedo tengo traigo talones traigo talones,7
Vicente Fernàndez,¡Arriba Huentitàn!,1972,El Palenque,"Traigo un gallo colorado
Que jamás se me ha rajado
En el ruedo del palenque
En la ferias que ha peleado
Muchos gallos afamados
Han perdido lo valiente
La medida en la navaja
Pa' mi gallo nunca es nada
Se la juega como quiera
Yo le apuesto hasta la vida
Si se trata de jugarla
Me la rifo con cualquiera
Las carreras de caballos
Y los naipes de colores
Para mí son pura vida
Y el amor que a mí me quiera
Debe ser sin pretensiones
Pa' que esté de mi medida
Para gallos mi Jalisco
Mi mero Guadalajara
Les pregunto a los señores
Los que son apostadores
Cuando ponen a su gallo
Y si quieren les apuesto
Mi dinero, y mi pistola
Mi montura y mi caballo
Las carreras de caballos
Y los naipes de colores
Para mí son pura vida
Y el amor que a mí me quiera
Debe ser sin pretensiones
Pa' que este de mi medida",4,True,1970,traigo gallo colorado jamás rajado ruedo palenque ferias peleado muchos gallos afamados perdido valiente medida navaja gallo nunca nada juega quiera apuesto vida trata jugarla rifo cualquiera carreras caballos naipes colores son pura vida amor quiera debe ser pretensiones esté medida gallos jalisco mero guadalajara pregunto señores son apostadores ponen gallo quieren apuesto dinero pistola montura caballo carreras caballos naipes colores son pura vida amor quiera debe ser pretensiones medida,13
Los Cadetes De Linares,Los Cadetes De Linares Y Sus Corridos,1976,Bayo Cara Blanca,"Pepito tenía un caballo
Que nomás él lo montaba
Era un bayo cara blanca
De siete cuartas de alzada
Ay, qué rechulo animal
Nomás hablar le faltaba

José quería aquel caballo
Como a su Dios lo adoraba
Todos los días muy temprano
Lo bañaba y lo ensillaba
Y el bayo de puro gusto
Se paraba y relinchaba

De La Arena hasta Terán
Jamás perdió una carrera
Ah, qué rechulo animal
Corría como una fiera
Del Provenir a San Juan
Dejo gente en la miseria

Pero el destino es muy cruel
Y no hay quien se le resista
Y quiso que aquel corcel
Un día perderá la vista
Ya nunca volvió a correr
Ni en el llano ni en la pista

Pa quitarlo de sufrir
José le dio tres balazos
Así le toco morir
A aquel que en la vida era un rayo
De la historia este es el fin
De Pepito y su caballo",4,True,1970,pepito tenía caballo nomás él montaba era bayo cara blanca siete cuartas alzada rechulo animal nomás hablar faltaba josé quería aquel caballo dios adoraba todos días temprano bañaba ensillaba bayo puro gusto paraba relinchaba arena terán jamás perdió carrera rechulo animal corría fiera provenir san juan dejo gente miseria destino cruel resista quiso aquel corcel perderá vista nunca volvió correr llano pista quitarlo sufrir josé dio balazos toco morir aquel vida era rayo historia fin pepito caballo,0
Chelo,La Voz Ranchera,1976,Dos Gallinas Finas,"Dos mujeres pelearon, pelearon
el amor del hombre que tanto adoraban,
con su sangre la tierra regaron
al darse la muerte de dos puñaladas

Concha le dijo a Enriqueta,
fíjate donde te metes
no por andar de coqueta,
un día tu me comprometas
de ese hombre soy su querida,
y mi honor se me respeta

Enriqueta contestó,
soy más fuerte y decidida
llevamos la misma sangre,
hermanita de mi vida
pero el cariño de ese hombre
lo defiendo con mi vida

Las dos sacaron puñales
ya andaban aprevenidas
sabían que ya eran rivales
y del mismo hombre queridas
valientes eran de sangre
eran dos gallinas finas.",4,True,1970,mujeres pelearon pelearon amor hombre tanto adoraban sangre tierra regaron darse muerte puñaladas concha enriqueta fíjate metes andar coqueta comprometas hombre querida honor respeta enriqueta contestó fuerte decidida llevamos misma sangre hermanita vida cariño hombre defiendo vida sacaron puñales andaban aprevenidas sabían eran rivales mismo hombre queridas valientes eran sangre eran gallinas finas,13
Mariachi Vargas de Tecalitlán,El Mariachi Vargas de Tecalitlán,1976,El Cuatro,"Este es el cuatro mentado, el rey de todo los sones
Este es el cuatro mentado, el rey de todo los sones
Querido de las mujeres, apreciados de los hombres
Querido de las mujeres, apreciados de los hombres

Que de doces, que de treces, que de malillas y aces
Que de doces, que de treces, que de malillas y aces
Chinita que mal pagas, pero tú sabes lo que haces
Chinita que mal pagas, pero tú sabes lo que haces

Señora, si usted quisiera hacerme una caridad
Señora, si usted quisiera hacerme una caridad
Partiera su rebocito, ay, me diera la mitad
Para hacerme un cotoncito, que ya vergüenza me da",4,True,1970,cuatro mentado rey todo sones cuatro mentado rey todo sones querido mujeres apreciados hombres querido mujeres apreciados hombres doces treces malillas aces doces treces malillas aces chinita mal pagas haces chinita mal pagas haces señora usted quisiera hacerme caridad señora usted quisiera hacerme caridad partiera rebocito diera mitad hacerme cotoncito vergüenza,14
Ramon Ayala y sus Bravos Del Norte,No Vengas A Rogarme,1977,Los Hermanos Bedolla,"Aquí les traigo el corrido
De la hacienda de La Joya
Voy a cantar la tragedia
De los hermanos Bedolla

Andando los dos tomando
Efrén le dice a Vicente
""Me gusta mucho tu esposa
Y aunque lo sepa la gente""

Vicente le contestó
""A Cristina no la nombres
Que por algo que se quiere
Siempre se matan los hombres""

Pero Efrén vuelve a insistirle
No quería que te enteraras
Porque Cristina fue mía
Antes de que se casaran

Vicente sacó su escuadra
Diciendo, aquí está tu amada
Acribillándolo a tiros
Allá por la madrugada

Cuando Efrén cayó al suelo
También le disparó a tiempo
Muriendo así por Cristina
Los hermanos al momento

Vuelen, zinzontles norteños
Y llévense este corrido
Se mataron dos hermanos
Acribillándose a tiros",4,True,1970,traigo corrido hacienda joya cantar tragedia hermanos bedolla andando tomando efrén vicente gusta mucho esposa sepa gente vicente contestó cristina nombres algo quiere siempre matan hombres efrén vuelve insistirle quería enteraras cristina mía antes casaran vicente sacó escuadra diciendo amada acribillándolo tiros madrugada efrén cayó suelo disparó tiempo muriendo cristina hermanos momento vuelen zinzontles norteños llévense corrido mataron hermanos acribillándose tiros,13
Vicente Fernández,Ni En Defensa Propia,1970,Caballo Golondrino,"Tenia fama de pelao
Siempre anda bien armado
Ese Maclovio Natera

Era revolucionario
Quería mucho a su caballo
Y le gustaba dar guerra

Su caballo era muy fino
Se llamaba Golondrino
Dosalbo y muy pajarero

Conocía bien el peligro
Se paraba en dos patitas
Si venteaba al enemigo

Al caballo como al hombre
El amor lo trae herido
Brinco el pesebre esa noche
Dejando a su amo dormido

Cuando volvió el nuevo día
Hallo a Maclovio tirado
Los rivales que tenía
Ya lo habían medio matado

...Y como decía Maclovio
¡Arriba La Revolución Hijos
De Pancho Villa!

Cuando Maclovio moría
Debajo de su caballo
Se quejaba y se reía

Su caballo relinchaba
Con las patas lo meneaba
Quería volverlo a la vida
Cuando el caballo venteo
Que estaba muerto de veras
Sin detenerse corrió
Internándose en la sierra
Los del pueblo lo buscaron
Sin encontrarlo ya nunca
El caballo Golondrino
Siguió a Maclovio a su tumba",3,True,1970,tenia fama pelao siempre anda armado maclovio natera era revolucionario quería mucho caballo gustaba dar guerra caballo era fino llamaba golondrino dosalbo pajarero conocía peligro paraba patitas venteaba enemigo caballo hombre amor trae herido brinco pesebre esa noche dejando amo dormido volvió nuevo hallo maclovio tirado rivales tenía habían medio matado decía maclovio arriba revolución hijos pancho villa maclovio moría debajo caballo quejaba reía caballo relinchaba patas meneaba quería volverlo vida caballo venteo estaba muerto veras detenerse corrió internándose sierra pueblo buscaron encontrarlo nunca caballo golondrino siguió maclovio tumba,0
Vicente Fernandez,Canciones De Las Películas De Vicente Fernandez,1978,El Arracadas,"Como la sombra de un fantasma por las noches
Cruzando montes, barrancos, y poblados
Va un hombre triste montado en su caballo
Su perro lo acompaña rastreando los sembrados

Todos se dicen por ahí viene el Arracada
Lleva patillas, chamarra de vaquero
Tejana negra y pantalón de cuero, con mirada tranquila
Buscando a algún cuatrero

'Voy a cumplir un juramento que es sagrado'
Cuando salió de su jacal, dijo a su madre
Voy a buscar a aquel traidor que allá en la loma
Cobardemente y sin piedad mató a mi padre

Unos rumores de plegaria se escucharon
Cuando una madre por su hijo pide al cielo
Luego un caballo se aleja relinchando
Y allá por la barranca sus pasos se perdieron

Y aquel traidor a quien buscaba el Arracada
Lo hallaron muerto colgado en un potrero
Mientras otro hombre, su perro y su caballo
Nunca jamás se han visto, perdió su paradero

Allá en lo obscuro de un jacal se oye un sollozo
Es de una madre que se encuentra abandonada
Le llora a un hombre que le escucha desde el cielo
Y a un hijo ausente del que no se sabe nada
Y a un hijo ausente del que no se sabe nada",3,True,1970,sombra fantasma noches cruzando montes barrancos poblados hombre triste montado caballo perro acompaña rastreando sembrados todos viene arracada lleva patillas chamarra vaquero tejana negra pantalón cuero mirada tranquila buscando algún cuatrero cumplir juramento sagrado salió jacal madre buscar aquel traidor loma cobardemente piedad mató padre unos rumores plegaria escucharon madre hijo pide cielo luego caballo aleja relinchando barranca pasos perdieron aquel traidor buscaba arracada hallaron muerto colgado potrero mientras otro hombre perro caballo nunca jamás visto perdió paradero obscuro jacal oye sollozo madre encuentra abandonada llora hombre escucha cielo hijo ausente sabe nada hijo ausente sabe nada,0
Vicente Fernandez,El Gallo Negro,1978,El Gallo Negro,"Ya se cuenta por ahí que soy gallo de Saltillo
Porque hasta le he ganado al famoso gallo giro
Otros dicen por ahí que soy gallo afamado
Porque hasta le he ganado al gallito colorado

Soy del monte, soy del rancho no soy rico pero tampoco pobre
Y me juego hasta la vida por defender mi nombre
Me dicen el gallo negro porque me gusta pelear
Pero a nadie juego sucio, ni a nadie vengo a buscar

Ya se dice por ahí que soy un gallo distinto
Jugador y enamorado y que para cantar me pinto
Otros dicen por ahí que soy gallito bravío
Es muy cierto lo que dicen pero defiendo lo mio

Soy del monte, soy del rancho no soy rico pero tampoco pobre
Y me juego hasta la vida por defender mi nombre
Me dicen el gallo negro porque me gusta pelear
Echenme al patas chorreadas o al prieto águila real",3,True,1970,cuenta gallo saltillo ganado famoso gallo giro otros gallo afamado ganado gallito colorado monte rancho rico tampoco pobre juego vida defender nombre gallo negro gusta pelear nadie juego sucio nadie vengo buscar gallo distinto jugador enamorado cantar pinto otros gallito bravío cierto defiendo mio monte rancho rico tampoco pobre juego vida defender nombre gallo negro gusta pelear echenme patas chorreadas prieto águila real,13
Carlos Y Jose,Maria De Jesus,1978,Corrido De La Chicharra,"Voy a entonar unos versos
Al compás de mi guitarra
Es la historia de un amigo
Pedro montes ""la chicharra""
Cuentan que temblaba el monte
Cuando a caballo montaba
Nativo de nuevo león
Bautizado en San Fernando
Era amigo de Ataleo
De Agapito y de su hermano
A toda la gente pobre
Siempre le daba la mano
De Victoria hasta Linares
Pedro ya estaba ensortado
Ya todos los ganaderos
Ya vivían azorados
Sabían que andando a caballo
Portaba cualquier ganado
En el rancho Casas Grandes
Lo quisieron agarrar
Le tendieron una trampa
Cuando iba a entrar a un corral
A caballo rajo el monte
Y a San Carlos fue a parar
Pero su destino un día
Lo ha traicionado a la mala
Se mato con su caballo
Cuando huía de una emboscada
Así termino su vida
Pedro montes ""la chicharra""
Adiós ley de Tamaulipas
Y la ley de nuevo león
Nunca se les concedió
Me llevaran a prisión
Llevaran mi nombre escrito
Y una cruz en el panteón",3,True,1970,entonar unos versos compás guitarra historia amigo pedro montes chicharra cuentan temblaba monte caballo montaba nativo nuevo león bautizado san fernando era amigo ataleo agapito hermano toda gente pobre siempre daba victoria linares pedro estaba ensortado todos ganaderos vivían azorados sabían andando caballo portaba cualquier ganado rancho casas grandes quisieron agarrar tendieron trampa iba entrar corral caballo rajo monte san carlos parar destino traicionado mala mato caballo huía emboscada termino vida pedro montes chicharra ley tamaulipas ley nuevo león nunca concedió llevaran prisión llevaran nombre escrito cruz panteón,13
Antonio Aguilar,Cantos De Mi Tierra 	    ,1972,La Martina,"¡Aya!
La Martina
¡Uah!

Quince años tenía Martina
Cuando su amor me entregó
A los 16 cumplidos
Una traición me jugó

Estaban en la conquista
Cuando el marido llegó
¿Qué estás haciendo, Martina
Que no estás en tu color?

Aquí me he estado sentada
No me he podido dormir
Si me tienes desconfianza
No te separes de mí

¿De quién es esa pistola?
¿De quién es ese reloj?
¿De quién es ese caballo
Que en mi corral relinchó?

Ese caballo es muy tuyo
Tu papá te lo mandó
Pa' que jueras a la boda
De tu hermana, la menor

Ay, ¡pobre Martina!, parecía parecía pan de cera
'Taba verde limón, le cayeron con las manos en la masa
¡Ay!

¿Yo pa' qué quero caballos
Si caballos tengo yo?
Lo que quero es que me digas
¿Quién, en mi cama, durmió?

En tu cama naiden duerme
Cuando tú no estás aquí
Si me tienes desconfianza
No te separes de mí

Y la tomó de la mano
A sus papás la llevó
Suegros, aquí está Martina
Que una traición me jugó

Llévatela tú, mi yerno
La Iglesia te la entregó
Y, si ella te ha traicionado
La culpa no tengo yo

Ah-ah-ah, la criaron mañosa
Salió mañosa, cuatrera, alborotadora
Po're, po're viejo

Hincadita de rodillas
Nomás seis tiros le dio
El amigo del caballo
Ni por la silla volvió",3,True,1970,aya martina uah quince años tenía martina amor entregó cumplidos traición jugó estaban conquista marido llegó haciendo martina color estado sentada podido dormir tienes desconfianza separes esa pistola reloj caballo corral relinchó caballo tuyo papá mandó jueras boda hermana menor pobre martina parecía parecía pan cera taba verde limón cayeron manos masa quero caballos caballos tengo quero digas cama durmió cama naiden duerme tienes desconfianza separes tomó papás llevó suegros martina traición jugó llévatela yerno iglesia entregó ella traicionado culpa tengo criaron mañosa salió mañosa cuatrera alborotadora po re po re viejo hincadita rodillas nomás seis tiros dio amigo caballo silla volvió,0
Los Cadetes De Linares,Los Cadetes De Linares Y Sus Corridos,1976,Juan De La Fuente,"San Francisco se llama el poblado
Mi corrido es de allá exactamente
A mediados de abril se mataron
Luis Hernández y Juan De La Fuente

Luis se andaba raptando a Susana
La mujer más bonita del pueblo
Ella solo a su Juan adoraba
Sin querer fue la causa del duelo

Juan llego para ver a su amada
En aquellos precisos momentos
Reclamo a Luis la vil canallada
Diez minutos después era muerto

Se agarraron del cuello uno al otro
Se abrazaron, cayeron al suelo
En aquel callejos pedregoso
Se clavaron las dagas de acero

Juan traía su pistola fajada
Su cuchillo de acero y navaja
Como Luis no traía más que daga
Juan no quiso pelear con ventaja

De recuerdo hay dos cruces de encino
Y una novia bonita que llora
San Francisco volvió a ser testigo
De un amante con muchas historias",3,True,1970,san francisco llama poblado corrido exactamente mediados abril mataron luis hernández juan fuente luis andaba raptando susana mujer bonita pueblo ella juan adoraba querer causa duelo juan llego ver amada aquellos precisos momentos reclamo luis vil canallada diez minutos después era muerto agarraron cuello uno otro abrazaron cayeron suelo aquel callejos pedregoso clavaron dagas acero juan traía pistola fajada cuchillo acero navaja luis traía daga juan quiso pelear ventaja recuerdo cruces encino novia bonita llora san francisco volvió ser testigo amante muchas historias,13
Los Cadetes De Linares,Los Cadetes De Linares Y Sus Corridos,1976,El Cachas De Oro,"Con el permiso señores, su atención les pido a todos
Aquí les traigo el corrido del famoso Cachas de Oro

Gilberto lleva por nombre y Rodríguez su apellido
Le dicen El Cachas de oro en San Benito, el Nacido

Es un amigo sincero y un hombre muy decidido,
Algunos quieren matarlo pero no se han decidido

Los policías de Houston lo han querido desarmar
Y El Cachas de oro les grita: ""¡Primero me han de matar!""

Decía Gilberto Rodríguez: ""No me van a desarmar
Para que a mi me desarmen, trabajo les va a costar""

El Cachas de Oro gritaba con su pistola en la mano
""¡Éntrenle pollos pelones, se me hace que yo les gano!""

Ya con esta ahí me despido, aquí les canté a mi modo
Aquí se acaban los versos, del famoso Cachas de oro",3,True,1970,permiso señores atención pido todos traigo corrido famoso cachas oro gilberto lleva nombre rodríguez apellido cachas oro san benito nacido amigo sincero hombre decidido algunos quieren matarlo decidido policías houston querido desarmar cachas oro grita primero matar decía gilberto rodríguez desarmar desarmen trabajo costar cachas oro gritaba pistola éntrenle pollos pelones gano despido canté modo acaban versos famoso cachas oro,13
