artist,album,year,song,lyrics,es_narco_fuerte,subgenero_ia,conteo_narco,decada
Calo,Deja Vu,2018,Tercera Guerra,"Si algún miembro de su familia muere dentro del refugio
antiaéreo
Favor de sacarlo fuera de esta zona,
Pero recuerde, debe marcar el cuerpo para su identificación
posterior

Mas de 4 millones de Soldados preparados
para luchar con el Armamento Químico Nuclear mas moderno,
Y no habrá ser humano que sobreviva... a una tercera
Guerra Mundial.

Tercera Guerra... La Ultima

Guerra no mas, queremos la Paz
Somos hermanos queremos la Paz

Tercera Guerra!!
No lo puedo creer que no piensan Crecer ¿?
Ya es tiempo que los jefes empiecen a entender
Que si deciden mal, nos vamos a joder
No todo es Petróleo y Poder
Escuchen muy bien lo que les vamos a contar
La gente de los pueblos es la que va a luchar
Y los que hacen el problema, por la tele lo verán

Habiendo tantas cosas en que preocuparse
No hay que pensar tan solo en lastimarse
Hay miles de niños muriendo de hambre
Y el dinero lo gastan ya solo en armarse
No se tienen que sentar, a platicar
Y no tienen que esperar,
A que la guerra empiece ya
Recuerde todo el Mundo,
A los niños del futuro
Lo único que pedimos es Paz, seguro

Tenemos tremendos líos... Tercera Guerra
Tenemos tremendos líos ...Tercera Guerra
Tenemos tremendos líos ...Tercera Guerra
Tenemos tremendos líos ...

Tercera Guerra!
Parece que no entendimos
La lección del hombre sea la predicción
Que por estas fechas habría destrucción
Después de tanto químico por el aire
No habrá vida ni dinero – no habrá nadie
Vamos a decirles – dejen de pelear
Usen su cabeza es tiempo de evolucionar

Silencio, habrá por mucho tiempo
Ya no verán a los niños sonriendo
Solo sufriendo, y en los últimos momentos
Querrán hacerle, a la vida un monumento
Cuando sea tarde, mira nomás
La tercera Guerra no se tiene que iniciar
A todos los seres vivos,
De la vida no los puedes privar
No los tienen que olvidar
No lo tienes que olvidar

Tenemos tremendos líos... Tercera Guerra
Tenemos tremendos líos ...Tercera Guerra
Tenemos tremendos líos ...Tercera Guerra
Tenemos tremendos líos ...

Tercera Guerra!!

Guerra no mas, queremos la Paz
Somos hermanos queremos la Paz

Con tantas armas que se han hecho aquí
Cinco veces lo pueden destruir
Al mundo entero,
Sin ninguna compasión
Cuando ellos vean que todo se acabo
No lo creo justo y no lo puedo entender
Que de a 4 bombas
Nos toque a cada quien

Y ahora quieren, ponerse a Pelear
En el espacio, a donde van a llegar?
Bombas Nucleares, y Bacteriales
Lo que ocasionan es puro desastre
Para que el hombre tanto se esmero
Inventando una vacuna
Si con esto se acabo?
Tanques Tigre
Y aviones Mirashi
Con todo el dinero,
El papel no va a alcázar
Y mientras tanto, seguimos viendo
A tanta y tanta gente
Que de hambre esta muriendo
Y a ti queremos ahora preguntar
¿ Quien les da el derecho
Del destino manejar?
Ignorante decisión
Ya no escucho una canción
Solamente escucho
De la bomba que voló
Con todo esto, mucha gente muere
Y por supuesto, esto si que duele
Cuando deberíamos de dedicar
A superarnos como gente racional
La vida, date ya cuenta
Que no se compra y menos se renta
Y así como nadie la puede comprar
Nadie tiene el derecho de matar
Ni por política, ó su interés personal
Somos una raza, nos tenemos que ayudar
Somos humanos, tenemos mente
¿ apoco quieres que el mundo reviente? – No!!

Llamando a la base.

Tenemos tremendos líos... Tercera Guerra
Tenemos tremendos líos ...Tercera Guerra
Tenemos tremendos líos ...Tercera Guerra
Tenemos tremendos líos ...

Guerra no mas, queremos la Paz
Somos hermanos, queremos la Paz",True,0,5,2010
Voz De Mando,Los Mejores Corridos de Voz de Mando ,2013,Con Plomo Presente,"Los tiros a quemarropa
Ni modo que piensen
Que no eran pa mi

Ya casi me hacen historia
Casi veo las balas
Con que iba a morir

Lo siento
Fallaron
Salí de reversa
Los planes cambiaron

Si no es por
El carro
Que no corre, vuela
Me hubieran pegado

Ojala y no fuera cierto
Pa' que nos hacemos
Lo dejaron claro

En el vidrio hay agujeros
Y el marco del carro
Trae varios impactos

Yo nunca
Me duermo
Quisieron comerme
Pero salí intacto

Me siento
Tan raro
Aunque no ando herido
Me siento afectado

De plebe soy desmadroso
Igual desde plebe
Jalo como grande
Eso es lo que saben todos
Me agarraron solo
Quisieron matarme

Yo nunca
Estoy solo
No traigo la finta
Tan solo el apodo

Ahora les
Cercioro
El plomo se hunde
No en su propio lodo

Soy de bastantes amigos
Que me han conocido
Como alguien derecho

Imploro a mis enemigos
Si la hacen de vivos
También me los hecho

Porque yo
Soy gente
Del señor Vicente
Y su padre M grande

Con plomo
Presente
Ando entre los ántrax
Los del comandante

La mano de mi compadre
Sujeta la mía
Y tengo su respaldo

Una maquina de ataque
Se rifa la vida
Siempre lo ha cuidado

Él cuida
La mía
Una fuerza que
Nos hace como hermanos

El Cheyo
Vigila
Complexión tranquila
Peleando es el diablo

Ya que enredaron las cosas
Yo les diré otra
Hay que tener cuidado

Mi vida ya era una sombra
Como otras personas
Ando acostumbrado

Ahora que
Me buscan
Si quieren respondo
Por ahí me la paso

De mi no
Se burlan
No me ando escondiendo
Los ando buscando",True,0,5,2010
Valentín Elizalde,Antología Musical,2013,A Mis Enemigos,"Siguen ladrando los perros, señal que voy avanzando
Así lo dice el refrán, para aquellos que andan hablando
De la gente que trabaja y que no anda vacilando

Al que no le vino el saco, pídalo a su medida
Conmigo no andan jugando, ¿pa' qué se arriesgan la vida?
Traigo una súper patada, y los traigo ya en la mira

Para hablar a mis espaldas, para eso se pintan solos
¿Por qué no me hablan de frente?, ¿acaso temen al mono?
Ya saben con quién se meten, vengan a rifar la suerte

(¡Y échele compa Lira!)
(Puro Navojoa, municipio de Guasave)

A mí nadie me dio nada, todo lo que tengo es mío
Con el sudor de mi frente, he logrado lo que he querido
Sólo a la vida le debo, a mis padres tan queridos

Navojoa, cómo te quiero, Guasave, tierra querida
Siempre que me ando paseando, los extraño sin medida
Luego llego de pasada a visitar mi familia

Sigan chillando culebras, las quitaré del camino
Y a los que en verdad me aprecian, aquí tienen a un amigo
Ya les canté este corrido, a todos mis enemigos",True,0,5,2010
Julión Álvarez Y Su Norteño Banda,21 Black Jack (Nueva Edición Remasterizada),2013,Los Dos Compadres,"¡Y pikele a la cochi compadre moreño!
¡Puro pa' arriba viejon!

Compadre vengo a invitarlo esta noche
A la parranda traigo un par de yeguas finas
Son de Chihuahua, Chihuahua
Es puro ganado bravo dígame si me acompaña

Compadre yo no quisiera, pero abajo no lo dejo
Mientras me fajo la super
Usted prepárese el cuerno
Los dos tenemos pendientes
Debemos de andar despiertos

Una troca americana con placas de Tennese
En ella los dos compadres
También la muerte iba allí
Eso nadie me lo dijo
Eso mismo yo lo vi

Y ahí le mando un saludo a mi compa ¡kike!
Alex Viñote
¡Y arriba Chihuahua!

Al llegar al Sinaloense
Pedimos una botella
Que sea Buchanan's 18 que traemos la boca seca
De lejos nos apuntaban
¡10 armas a la cabeza!

Compadre estamos rodeados
Ya los vi por el espejo
Asegúrese al de tejana
Yo me tumbo al de sombrero
Después nos vamos pa' un lado
Son varios los pistoleros

Se soltó la Balacera
Los dos compadres rodaban
La gente corría hecha bola
Entre una lluvia de balas
Querían darles para abajo se quedaron con las ganas",True,0,5,2010
Mariel Mariel,Foto Pa Ti,2013,La Mercancía,"Ah, y que pasó
Tengo el cuerpito calentando al sol
Tengo la mercancía
Diente por diente a cambio de un favor
Que se lo lleva el viento o el policía
Algo de fuego prendido en conversación
Pase que sea elegante
Entre amigos no se espante
Cuando el amor dura, lo que dura dura

Oyeme eh eh, eso eh eh eh
Yo tengo las ganas tu tienes con que eh eh
oh eh eh eh
Voy hace' eh eh al revés de lo que digan que tengo que hacer

Voy por otra de esa misma
Y para que todo me de risa me pongo bestia te doy carrilla
Para safar de la rutina mínima
Tengo el caballo ensillao' ah
Tomo las riendas de este asunto y galopo
Me gusta que no tenga nada de tonto
La mercancía es toda tuya
Puro oro

Oh eh eh eh eso eh eh eh
Yo tengo las ganas tu tienes con que eh eh eh
Oh eh eh eh
Voy hace' eh eh al revés de lo que digan que tengo que hacer

Tomo el dinero, no soy de fierro
Me eche al bolsillo el corazón
Si el negocio esta en la calle
Se rematan los clientes
Se revienta la piñata y
Se caen todos los billete' eh oh

Eh eh eh vamos a ver eh eh eh
Si tenemos ganas que vamos hacer oh eh eh eh
Yo lo se eh eh
Tu me quieres y
Este juego esta al revés

Oh eh eh eh eso eh eh eh
Yo tengo las ganas tu tienes con que eh eh eh
Oh eh eh eh
Voy hacer eh eh al revés de lo que digan que tengo que hacer
Eh eh eh eso eh eh eh
Yo tengo las ganas tu tienes con que eh eh
Oh eh eh eh
Voy hacer eh eh al revés de lo que digan que tengo que hacer
Tengo el cuerpito calentando
Tengo el cuerpito calentando al sol
Tengo la mercancía
La mercancía",True,9,5,2010
C-Kan,Clasificación C,2015,No Haces Na,"Ya, lista y cargada
Esta ready para mandarte a fuego
Tranquilo que la que viene a buscar
El que te lo va dar por mi
Socio te tumbamos el vuelo

Hay que ahora salen
Pendientes para todo lados
Que no te madruguen
Todo mundo anda con la cuatro cero
Y llega a la hora cero

Por que te pones así no, no, no
Hacen mucho ruido pero
Poquitito blam blam na, na, na
No, no, no hacen mucho ruido
Pero poquitito blam blam
No, no no, no, no no
poquitito blam blam
(C kan)
Hoy andamos mas decentes
Conozco gente que conoce gente
Que dice usted y su gente
Para que se compromete

Patrón, por 10 mil
Me bajo a ese cabrón Y por un CD
Firmado le brindo al otro mamon
Me les meto hasta el cantón

Si yo se que en cuarto duermen
Tranca bien la puerta que los
Malos siempre vuelven
Los sicarios siguen nobles

Han pensado hasta buscarme un doble
Para mandarlo a promoción
Y yo fumarme al que me estorbe

Dime donde y cuando mi bando le mando
Van a ver que yo no estoy jugando
Ahí que me digan donde y cuando
Si me andan buscando
Ellos saben muy bien donde ando
(coro)
Por que te pones así no, no, no
Hacen mucho ruido pero
Poquitito blam blam na, na, na
No, no, no hacen mucho ruido
Pero poquitito blam blam
No, no no, no, no no
poquitito blam blam
(C kan)
Hoy los capos que me piden
Hijo no pierdas el enfoque
Son los mismos que me juran
Matamos al que te toque

Hay gente de respeto
Que es de esa que se que pesa
Paga el doble por que el que
Cobra el precio de mi cabeza

Princesa, ni con 2 hongos tu mario bros
Tiene en el tamaño y los huevos para ponerse con el boss
Me doy un jalon de kush, es descargo todo el parque
Le quito el parking, pongo drive, arranco soltando el tanque

Quemando llanta y marihuana
Igual y bajan mañana
Pero tengo el barrio listo
Para sonarle las campanas

Sin pedos, me alegro
Por que yo nunca arreglo
El karma es tan cabrón
Que volveremos a vernos

Dime donde y cuando, mi bando le mando
Van a ver que yo no estoy jugando
Ahí que me digan donde y cuando
Si me andan buscando
Ellos saben muy bien donde ando
(coro)
Por que te pones así no, no, no
Hacen mucho ruido pero
Poquitito blam blam na, na, na
No, no, no hacen mucho ruido
Pero poquitito blam blam
No, no no, no, no no
poquitito blam blam",True,9,5,2010
Adan Cruz,Special Edition,2015,Volare,"Tengo tanto amor al dinero
(Matrimonio)
Tengo tan amor a mis socios
(Reclusorio)
Tengo tanto amor al negocio
(Pagame, pagame, necesario)
Tengo tanto amor yo no odio
(Es el acido)
Ardido no seas paracito, acido a nacido pa darte lo basico, esta fantastico yo te platico, ganas dinero pero no te hagas plastico, mira broh saca la lana ordena la coca y weed de la hydro
(Volare, volare)
ordena las botellas aqui lo pagamos carnal nunca fallo
(Volare, volare)
El gallo es de oro me rallo ahorro pa que te lo presto ni pasas el porro, pasalo pasalo pasalo
el trap si trap si hablas de drogas pa informarte señora de tanto que chismes pareces la doña
(Me chupas las bolas)

(Ruddi Nizz)
Desde niño siempre quise ver dolares mi madre me dijo chingale trabajale a tu pedo y a tus drogas tambien bajale me convierto en eisten me vuelvo demente

Cuando me encierro en el baño unos cuantos dias, salud con miel call it maple syrup pues parece el ligero de una mina te das un dap de esta mierda y tu cabeza gira, mira mira dolares mira ganando dolares de lunes a domingo todo el dia todo el dia
Buscando dolares busca implacable de liam nesson asi que fumas que aguantas ya vere un dap con varios gramos para que se ahogen y si las nuves se convierten en dolares me forjo el mejor porro que puedo y volare

(Adan Cruz)
Volaré por eso dolares
(Dólares),
Mis compás me dicen vuelale, correle por esos dolares, por esos dolares yo volare,
Me pagan con dólares pues orale yo no tengo un pedo carnal rolate tenemos al cabo el mejor sacate, se arma sin un pedo dinero árabe
Salam alekum hey como te va escuchando a mi grupo eh, esto es lo nuevo homie apurate gano todos los días acuerdate, celebró con mis socios un negocio que se a cerrado ya no hay demora wey, vaporizadores, cargadores solares conectados asta tonatiuh eh, hay calles peligrosas ve y atorale haz esos billetes perro correle
(Orale)
Perro correle Ven para acá tengo lsd
(...)
El tiempo es oro vuelvo kilates en dólares mi habilidad garantiza que sonare vida de jet",True,9,5,2010
Kafé con Leshe,Nacidos Para Estar Aquí ,2015,Cienes,"Establecido dónde mismo, miren pa' dónde sale el sol y encontrarán el sitio,
Noroeste de dónde yo consisto
pocos fresas he visto,
Y con esto y más vivo y pienso y más sigo recreando parte de lo que he vivido,
Esta es la historia de mi barrio, yo, él y varios somos de la estribo, por eso amigo, con muchos más detalles te lo digo:

Soy el típico rap estrella que parte del noroeste; de un barrio, salido de una casa de simple fachada amueblada en deudas, con un pitbull y el clásico Mazda 7-1 en el patio,
Mi personalidad: espesa,
Pasado que pesa y una familia cada vez más grande que esperan que en esto crezca,
Fluyo en el sentido de mi calle, no olvido a los perdidos ni a los que en paz de este viaje ya se han ido, cómo son los cienes, x-4 esquinas,
Luego preguntas por múltiples rutas por las que se viaja y camina,
Doy gracias al cielo por esta rutina siempre diferente, entiendo a los que no lo entiende, aprendo de mucha gente, (che-chequen),
Sigo asomando el alma a la ventana, dando paz y escribiendo para mi ciudad.

Y todo para mencionar; cuántos problemas, sufrimientos que suelen causar experiencias en la vida, por eso, quizás te diga que ahora de dónde vivo no te cegará de nuestra realidad, mira,

Cienes, hey baby, tras de ellos voy...
soy de los cienes.

Soy el zeta que trata de cambiar el movimiento, con sueños gastados y un chingo de ganas al que muchos brindan respeto y del que otros muchos se burlan, compa, sigo sudando el cuerpo en show mientras mediocres por poca lana, pero que mucho bien se gasta en amor, familia, fiesta; ropa, cheve, comodidades baratas.
Lo que debo tarde o temprano y de una u otra forma se paga, la bronca es que siempre voy en deuda con esta simple vida loca, pero checa, aún así, el de Kafe se las gasta.

Y todo para mencionar; cuántos problemas, sufrimientos que suelen causar experiencias en la vida, por eso, quizás te diga que ahora de dónde vivo no te cegará de nuestra realidad, mira,

Cienes, tras de ellos voy...
Hey baby,
Tras de ellos voy...
soy de los cienes.

Cienes, AFDD mis niños, L-Peña, Eypa Penta, AK-47 Calibre micro, che-cheque, yeah, ¿Dos mil qué?, Oye.)

Tras de ellos voy...

Así es mi niña)

Cienes, tras de ellos voy...
Hey baby, tras de ellos voy...

Soy de los cienes.",True,9,5,2010
Millonario,Babilonia Music Presenta: Millonario Sin Corona,2015,De Aquí Los Veo,"De aquí los veo
Por todo México me voy de paseo
Mi trabajo es agarrar cotorreo
Usted no puede por que canta bien feo
Es lo que yo creo
Y de aquí los veo
Por todo México me voy de paseo
Mi trabajo es agarrar cotorreo
Usted no puede por que canta bien feo
Es lo que yo creo

Alterado de la chompa
Vengo con mi compa
Les cayó la verga voladora no se escondan
Los voy a encontrar donde se metan
Bola de puñetas
Si me buscan me encuentran

Pinches maricones
Bola de panochones
Ustedes me dan risa y saben mis intenciones

Tengo un instinto animal
Los voy a vestir de negro en su funeral
Síganle de putos en su caja grupal
Picándose el culito y dándose placer anal

Yo desde aquí los veo
Por todo México me voy de paseo
Mi trabajo es agarrar cotorreo
Usted no puede por que canta bien feo
Y al chile no lo creo
Que pueda igualarse
Con el pinche Millonario toparse
Aunque caiga a la cárcel

Mire compa Mili
Mejor rólese un phillie
Ya no se me engüile
Por mucho que se la estrilen

Total no hacen na'nay
Yo ya anduve por ahí
Pero si les doy el raid
Van a decir que caray

Pobrecitos muchachitos
Pinche viejo tuvo envidia
Algunos no han brillado pero si se mueren brillan
Yo no soy malilla
Mucho menos ardilla
Ellos 'tan para lucirnos y opacarlos con la rima

Si me hacen promoción
Hasta en televisión
Aunque yo no esté presente se habla de mi agrupación
Y como no les falta flow

Les falta beat, les falta letra
De tanta puñeta el cerebrillo se les seca
Me echaron la reta
Pero se arrepienten
Primero muy valientes y ahora quieren mandar gente
Pos mientras cae la muerte
Yo me sigo paseando
Bien locote por el mundo con mi compa El Millonario

De aquí los veo
Por todo México me voy de paseo
Mi trabajo es agarrar cotorreo
Usted no puede por que canta bien feo
Es lo que yo creo

Y de aquí los veo
Por todo México me voy de paseo
Mi trabajo es agarrar cotorreo
Usted no puede por que canta bien feo
Es lo que yo creo

De aquí los veo
De aquí los veo",True,0,5,2010
Ill Mascaras,Dios Barras,2015,Dios Barras,"(Ladies and gentleman an international star
Ill mascaras)
Asalto de barras de? y katanas
Y una lista de nombres que en esta noche matare
Si la palabra está prohibida la llaman lambada
Aqui me dicen mataespaña, tú me llamas ill mascaras
Corazón de cuaderno como el de Tupac Amaru
Con un cotizado cobarde y listo pa' quemarlo
Es cuando llego yo con Juan Gabriel a mi lado
Michelada helada listo para el disparo
piu pium pa pa prrr the kill back
Yo tengo la mota si tú tienes los zig zags
Yo saco mi weed stack, CD de Mike Diaz
Pocho del cyper me corto dieciseis lineas
Me gustan las muchachas que se miran bien indias
Pa' mí es más sexy de que hacerte la gringa
Oye mi ding dong, que este es mi ringtone
Raperos me la pelan porque ya llego king kong
Me gusta música y fumar la mota
Algo más pa' tomar y me siento estelar
A bailar y a besar las lindas mujeres
A dormir y despertar pa' hacerlo otra vez
¿Qué tranza? me llaman ill mascaras
En la casa bolsas llenas como Santa Claus
Guacala el vato tiene calaca de Sátanas
Apesto a pura Canabis lo mejor y nada más
Escuela vieja, adidas de punto a cascara
Levanto el techo con barras teleconesias
Los rebeldes hicieron una culebra a medio cyper
Los sacos, pa' sellarte los Angeles vamos
Guadalajara ya mero y Atotonilco
Un hip hop en los oídos, un burrito en el hocico
Digo, unos corridos un griton en el ombligo
Y listo pa' matar wakamc's y mis enemigos
Piu pium piu pium, balazos en el culazo
Rebotó en la pared y se chingó a tu mujer
Es una escena de ""Nigth of the living dead""
Cuerpos en el piso dios mio no puede ser
Me gusta música y fumar la mota
Algo más pa' tomar y me siento estelar
A bailar y a besar las lindas mujeres
A dormir y despertar pa' hacerlo otra vez
Velorio loco, primera página del periodico joto
Te voy a lastimar, tenochtitlan catorce ninety one ()
? todo listo completamente obsidian?
Un beso a Xochitl Quetzal, un batallero listo pa' las consecuencias
Lucha libre, escupe libre, liga de batallas velorio vive
Ill mascaras mil voces, velorio es la liga pa' los perros y chingones
Microfóno cabrones, batalleros hocicones
A capella cualquiera escupo a duros cabrones, se dice
¿Quién quiere putazos? entrale macho te regreso molacho
¿Qué tal muñeca? te voy a pintar como princesa azteca
Me gusta música y fumar la mota
Algo más pa' tomar y me siento estelar
A bailar y a besar las lindas mujeres
A dormir y despertar pa' hacerlo otra vez",True,9,5,2010
Los Tucanes De Tijuana,Corridos Time Temporada 1 Soy Parrandero,2014,El Más Bravo De Los Bravos,"Zumbando por el estado
Y armados con metralletas
En puros carros blindados
Y a la orden de tres letras
Así anda por todos lados
El comando del muletas

Un hombre muy peligroso
Que no le teme ni al diablo
Sonriendo, jala el gatillo
Disfruta de su trabajo
Y siempre les dice a todos:
""Yo soy hombre, no payaso""

Agallas tiene de sobra
Por eso subió de grado
Levanta, ejecuta y cobra
Al que no esté apalabrado
Son órdenes de la maña
Culebras, tengan cuidado
Raydel López no perdona
Nació demasiado bravo

Los guachos cargan su foto
Lo buscan por todos lados
También los güeros pecosos
Andan muy desesperados
A todos los trae nerviosos
Por tantos ejecutados

Su nombre ya se lo saben
Su apodo es más conocido
Es del cártel de Tijuana
Muletas, cómo has crecido
Las leyes no te hacen nada
Te tienen pavor, mi amigo

Trae un calibre .50
En su trocona blindada
También su fiel R-15
Chanate lanzagranadas
Vestido al estilo Rambo
Con dos rayas en la cara

Nació para echar balazos
Está más que comprobado
Pregúntenselo al gobierno
Y a los que lo han provocado
Con su propio puño y letra
Les escribe los recados
Raydel López, ""el Muletas""
El más bravo de los bravos",True,0,5,2010
Los Tigres Del Norte,Antología ,2014,Viva Mi Sinaloa,"Yo vengo de Sinaloa,
Soy muy atrabancado,
Nomás oigo la tambora,
Me arranco de lado a lado
Con mi morena, bailar jalado,
Con mi güerita bailar pegado
Con mi trigueña tengan cuidado,

Esa mi tierra querida,
En donde hay hombres cabales
Amigo de los amigos,
Compadre de los compadres
Nomás apréndete este detalle,
Te recomiendo que no les falles,
Si los traicionas de ahí no sales,

Yo soy puro Sinaloense,
Y a nada le tengo miedo
Siempre les hablo de frente,
Si se quedan los espero
Para unas cosas soy impaciente,
Aunque para otras muy exigente
Con las mujeres soy complaciente

Sinaloense por fortuna,
Alegre por tradición
Desde que estaba en la cuna,
Me arrullo con una canción
Duérmase niño de mis amores,
Decía mi madre entre sus dolores
Voy a cantarte pa' que no llores

Arriba mi Sinaloa, lo digo con este grito
Sus pueblos y sus ciudades,
Desde Esquinapa hasta el Carrizo
Para bellezas esta mi estado,
De punta a punta y de lado a lado
Tenemos todo lo que has deseado

Morena no me despido,
Porque pronto voy y vengo
De que te vengas conmigo,
Es de lo que más ganas tengo
Para pasearnos por Sinaloa
Y zapatearle con la tambora,
Si te decides dímelo ahora",True,0,5,2010
Grupo Exterminador,Imprescindibles,2014,Me Gusta Ponerle Al Polvo,"Me gustan acciones fuertes
Me gusta pegarle al polvo
Ya sé que me andan buscando
Y que a muchos les estorbo

Ando detrás de la muerte
Por la forma en que me porto
Me gustan acciones fuertes
Me gusta pegarle al polvo
Ya sé que me andan buscando
Y que a muchos les estorbo

Me andan siguiendo los pasos
Ya ni a gusto me paseo
Por ahí en unos lugares
Algunos me miran feo
Ya sé que a mis enemigos
Yo les gusto pa' trofeo

En el rancho ""el Zapotillo""
Tengo una rubia preciosa
Muy seguido voy a verla
Me gusta por cariñosa
Es bonita y presumida
Y la voy a hacer mi esposa

Y ese es mi amigo Curro
Y ahí les voy compa
¡Uah!

A todos los que me buscan
Un consejo voy a darles
El gusto se lleva adentro
Y yo quiero recordarles
Me gusta gozar la vida
Y el dinero es pa' gastarse

Ya con esta me despido
Me gusta ser muy parejo
Potranca que no sea mía
Yo se la bajo a su dueño
Soy amigo de los hombres
Y a ninguno me le rajo",True,0,5,2010
Alemán & DJ Phat,Pase de Abordar,2014,El Levantón ,"Ah, yeah, yeah
Okay, okay
Yeah, yeah, okay, okay
Oh, sí, es Alemán
Yeh, eh, cómo no
Ah, escúchelo
Ah, bien loco del coco, oh, yeah

Ya valió verga, amarrado, no sé dónde me llevan
Escucho que se elevan, unas rayas, metrallas llevan
Problemas me enredan, me dice ""pague lo que deba""
Pero no, señor, eso no importa, seguro en un rato me quiebra

Me encuentran piedra, veinte pericos en la calceta
""Pinche morro cagón, sabes qué pedo con el que no nos respeta""
Y voy camino pa'l panteón en la troca del levantón
Y me preguntan que con quién conecto y en este negocio quién es mi patrón

Pero ahí está la pinche cuestión, que ando solo yo de cabrón
Porque no me pasa este error, quiero vivir, le pido perdón
Se lo digo de corazón, que lo hice por mi familia
Porque se andan muriendo de hambre y no tenemos ni para una tortilla

Ya no me quiebre otra costilla, ya no me muela la espinilla
Ya no quiero sentir dolor ¿Por qué mejor de una vez al infierno me envía?
La gente me lo decía, ""eso no vale pena""
Muy tarde lo vengo comprendiendo, lo que más me duele es dejar sin un padre a mi nena

Todavía respiro
Llévame señor, a la verga, ya péguenme el tiro
Porque la neta es que miro que de esta no me voy a salvar
Ya pasaron veinte días de mi muerte y no dejan de buscar

Mensajes en la red social, llamen a casa, no puedo más
Aún conservamos la fe, tenemos esperanzas que volverá
Pero hay miles de historias igual que está donde no hay más
Te desaparecen de la faz por no andar en regla moviendo drogas, perro

Okay, okay
Eh, yeah, eh, yeh, yeh, yeh
Okay, okay
Uh, uh, cómo no, loco, cómo no, loco
Yeh-yeh",True,9,5,2010
MC Davo,El Dominio,2014,No Hablemos De Lana,"Todo el que me conoce sabe que no ando con engaños
Se nota la evolucion al pasar de los años
Yo ya no estoy para un trabajo y para sus regaños
Hace un tiempo en un restaurante limpiaba baños

Muchos no pueden conmigo por eso es que los apaño
Cada cancion es un exito que no se te haga extraño
Y eso que dicen que en Monterrey somos tacaños
Yo les di el mejor disco del años a mis 22 años

Vivo la vida como si no hubiera mañana
Tu no sabes lo que es viajar cada fin de semana
Que me diga aquel rapero que me tira cuanto gana
Se que sigues empinado mejor no hablemos de lana

Siempre rie mejor el que rie al final
Ahora estoy con mi tercer disco original
A ustedes nada mas les queda alucinar
No pueden ni con su vida y quieren la de otros mirar

Todo el que me tira come de mi champiñon
Todavia de que me siguen como inspiracion
Pude llevar la musica a mas de una nacion
Entro como nadie y salgo con una ovacion

Ellos aunque sea me quieren en una oracion
Lo siento compa estamos en otra locucion
Yo no pago porque este en la radio mi cancion
Me toco ser el capitan de una nueva generacion

Esto es una bomba, es otro gol que les anoto
Segun te conoce la gente pero yo ni te noto
Cuentame que se siente decirme que soy joto

A ustedes les encanta hablar de lo que no tienen
Yo deje la puerta abierta pa' los raperos que vienen
Ya no pierdan su tiempo tirandome, no los escucho
Empezamos desde abajo y vendi mas discos que muchos

No necesito presentarme se que me ubican
""Davo nunca dejes de cantar"" ellos suplican
Tu no tienes haters es mas de ti ni platican
Me debo a los que me quieren, tambien los que me critican
La envidia te tiene mal, el coraje te quema
Lo que ganas en un mes yo me lo gasto en una cena
Puedo fabricar un exito con Meny sin problema
Es mas le hablo a Keko tambien pa' que trabajara este tema
Y eso que yo no sali bueno para ningun examen
Soy el futuro de la musica, ellos lo saben
Quieres tus canciones como las mias pero no te salen
No te quieras poner mis zapatos cuando no te caben
Soy como mi publico, solo buena musica exijo
Tal vez me va bien porque en ustedes no me fijo
Mi jefa no miente, ella hace tiempo lo dijo
De los cuatro hijos el chiquito es el mas canijo
Y ahora voy por la cima, les pasee por encima
Todo esto gracias al potencial de mi rima
Aqui tu no cabes compa mejor camina
Que el disco Dominio es el que a la gente domina

Yo ya no estoy para un trabajo y para sus regaños
Hace un tiempo en un restaurante limpiaba baños
Se nota la evolucion al pasar de los años
Si saco un exito que no se te haga extraño
Y eso que dicen que en Monterrey somos tacaños
Yo les di el mejor disco del años a mis 22 años
Vivo la vida como si no hubiera mañana
Tu no sabes lo que es viajar cada fin de semana
Que me diga aquel rapero que me tira cuanto gana
Se que sigues empinado mejor no hablemos de lana

Ah! Mexico Y Puerto Rico
Escribiendo un nuevo capitulo en este libro
Meny
Keko!
Ja yeah! ja
Asi nada mas sin practicar lo que tengo ganas de decir
Como tenemos el dominio Ja! fuck! ah!
Keko music",True,0,5,2010
